カテゴリ,名称,説明,条件タイプ,条件値,特別モヤ,特別モヤ説明,備考
ポイント獲得,ログ投稿,,投稿,10,,,1件あたり
ポイント獲得,写真付き,,写真付き投稿,5,,,ログ投稿に加算
ポイント獲得,中メタン,,メタンレベル50以上,5,,,1件あたり・ログ投稿に加算
ポイント獲得,高メタン,,メタンレベル80以上,10,,,1件あたり・ログ投稿に加算（50以上と重複しない）
ポイント獲得,静かな策,,すかしカテゴリの音,3,,,1件あたり・ログ投稿に加算
ポイント獲得,新しい都道府県,,初めての都道府県で投稿,20,,,1件あたり・ログ投稿に加算
ポイント獲得,毎日ログイン,,ログイン,3,,,1日1回
称号,初屁の出,はじめてログを投稿した,累計ログ数,1,芽吹きモヤ,はじめての淡い新緑が混じったモヤ,
称号,無音の策士,静かなログを3件投稿した,静かなログ数,3,囁きモヤ,ほとんど聞こえない薄いモヤ,すかしカテゴリの音
称号,消音の亡霊,静かなログを7件投稿した,静かなログ数,7,,,すかしカテゴリの音
称号,極限消音,静かなログを12件投稿した,静かなログ数,12,忍びモヤ,闇に溶ける消音のモヤ,すかしカテゴリの音
称号,都道府県通,3つの都道府県でログを残した,都道府県数,3,旅路モヤ,旅の記憶をまとった青緑のモヤ,
称号,魔境開拓者,5つの都道府県でログを残した,都道府県数,5,魔境モヤ,油膜のような不気味な虹色,
称号,全国制覇の屁,10の都道府県でログを残した,都道府県数,10,,,
称号,列島巡礼,15の都道府県でログを残した,都道府県数,15,,,
称号,日本縦断,20の都道府県でログを残した,都道府県数,20,嵐モヤ,渦を巻く紫黒い暴風のモヤ,
称号,ガス職人,メタンレベル60以上を記録した,最大メタンレベル,60,,,
称号,メタン帝王,メタンレベル80以上を記録した,最大メタンレベル,80,帝王モヤ,金色に輝く特別なモヤ,
称号,メタン伝説,メタンレベル95以上を記録した,最大メタンレベル,95,虚無モヤ,吸い込まれそうな闇のモヤ,
称号,危険地帯の徒,累計10件以上ログを残した,累計ログ数,10,危険モヤ,赤く脈打つ警告色のモヤ,
称号,泛滥の屁王,累計20件以上ログを残した,累計ログ数,20,焔モヤ,燃え盛るオレンジの炎のようなモヤ,
称号,三十屁伝,累計30件以上ログを残した,累計ログ数,30,,,
称号,屁の覇者,累計50件以上ログを残した,累計ログ数,50,覇王モヤ,深い金の威圧感あるモヤ,
称号,現場写真家,写真付きログを5件投稿した,写真付きログ数,5,残像モヤ,薄く漂う消えかけのモヤ,
称号,鑑識マニア,写真付きログを15件投稿した,写真付きログ数,15,ネオンモヤ,不気味に光る緑色のモヤ,
称号,現場の詩人,写真付きログを30件投稿した,写真付きログ数,30,詩情モヤ,夕暮れのようなロマンチックなモヤ,
称号,歴戦の屁王,メタンポイント500を超えた,メタンポイント,500,歴戦モヤ,銅色に燻った百戦錬磨のモヤ,
称号,メタン財閥,メタンポイント1000を超えた,メタンポイント,1000,財閥モヤ,金と翡翠色に輝く富裕のモヤ,
称号,メタン巨神,メタンポイント2000を超えた,メタンポイント,2000,巨神モヤ,巨大な岩肌のような重厚モヤ,
称号,メタン神,メタンポイント3000を超えた,メタンポイント,3000,神聖モヤ,白金色に輝く至高のモヤ,
特別モヤ,標準モヤ,いつもの黄色いモヤ,初期解放,,標準モヤ,いつもの黄色いモヤ,最初から使用可能
